class,pinned_value,result,edges,nodes_note
105,1,SAT,36,6s
106,0,SAT,39,53s
106,1,SAT,39,0s
107,0,SAT,39,53s
107,1,UNSAT,39,0s
108,0,SAT,7,0s
108,1,SAT,7,56s
109,0,SAT,14,22s
109,1,SAT,14,36s
110,0,SAT,28,53s
110,1,SAT,28,18s
111,0,SAT,35,56s
111,1,CAP,35,343s
112,0,SAT,10,1s
112,1,SAT,10,48s
113,0,SAT,17,7s
113,1,SAT,17,28s
114,0,SAT,31,52s
114,1,SAT,31,13s
115,0,SAT,38,55s
115,1,SAT,38,0s
116,0,CAP,12,427s
116,1,SAT,12,52s
117,0,SAT,18,20s
117,1,SAT,18,35s
118,0,SAT,9,0s
118,1,SAT,9,55s
119,0,SAT,15,7s
119,1,SAT,15,50s
120,0,SAT,15,8s
120,1,SAT,15,46s
121,0,SAT,21,42s
121,1,CAP,21,826s
122,0,SAT,27,42s
122,1,SAT,27,11s
123,0,SAT,33,59s
123,1,SAT,33,1s
124,0,SAT,27,48s
124,1,SAT,27,12s
125,0,SAT,12,3s
125,1,SAT,12,60s
126,0,SAT,18,27s
126,1,SAT,18,28s
127,0,SAT,30,57s
127,1,SAT,30,1s
128,0,SAT,24,34s
128,1,SAT,24,29s
129,0,SAT,30,54s
129,1,SAT,30,1s
130,0,SAT,36,54s
130,1,SAT,36,0s
131,0,SAT,18,25s
131,1,SAT,18,31s
132,0,SAT,27,50s
132,1,SAT,27,5s
133,0,SAT,33,53s
133,1,SAT,33,17s
134,0,SAT,18,10s
134,1,SAT,18,54s
135,0,SAT,30,56s
135,1,CAP,30,364s
136,0,SAT,21,34s
136,1,SAT,21,46s
137,0,SAT,33,56s
137,1,SAT,33,1s
138,0,UNSAT,6,0s
138,1,SAT,6,55s
139,0,SAT,18,49s
139,1,SAT,18,32s
140,0,SAT,9,0s
140,1,SAT,9,56s
141,0,SAT,15,25s
141,1,SAT,15,43s
142,0,UNSAT,6,0s
142,1,SAT,6,55s
143,0,SAT,18,43s
143,1,SAT,18,30s
144,0,SAT,21,16s
144,1,SAT,21,50s
145,0,SAT,33,58s
145,1,SAT,33,0s
146,0,SAT,24,55s
146,1,SAT,24,41s
147,0,SAT,9,1s
147,1,SAT,9,56s
148,0,SAT,21,49s
148,1,SAT,21,24s
149,0,CAP,12,502s
149,1,SAT,12,55s
150,0,SAT,27,46s
150,1,SAT,27,24s
151,0,SAT,39,56s
151,1,UNSAT,39,0s
152,0,SAT,30,53s
152,1,SAT,30,8s
153,0,SAT,42,57s
153,1,UNSAT,42,0s
154,0,UNSAT,3,0s
154,1,SAT,3,57s
155,0,SAT,15,28s
155,1,SAT,15,49s
156,0,UNSAT,6,0s
156,1,SAT,6,58s
157,0,SAT,18,50s
157,1,SAT,18,33s
158,0,SAT,33,57s
158,1,CAP,33,504s
159,0,SAT,24,52s
159,1,SAT,24,39s
160,0,SAT,36,56s
160,1,SAT,36,1s
161,0,SAT,21,52s
161,1,SAT,21,24s
162,0,SAT,12,0s
162,1,SAT,12,54s
163,0,SAT,24,55s
163,1,SAT,24,48s
164,0,SAT,27,48s
164,1,SAT,27,21s
165,0,SAT,39,55s
165,1,UNSAT,39,0s
166,0,SAT,30,54s
166,1,SAT,30,3s
167,0,SAT,36,55s
167,1,SAT,36,0s
168,0,SAT,27,54s
168,1,SAT,27,21s
169,0,SAT,39,57s
169,1,UNSAT,39,0s
170,0,SAT,12,1s
170,1,SAT,12,60s
171,0,SAT,24,52s
171,1,CAP,24,782s
172,0,SAT,15,53s
172,1,SAT,15,65s
173,0,SAT,27,60s
173,1,SAT,27,1s
174,0,SAT,24,55s
174,1,SAT,24,132s
175,0,SAT,15,22s
175,1,SAT,15,68s
176,0,SAT,12,4s
176,1,SAT,12,63s
177,0,SAT,12,2s
177,1,SAT,12,62s
178,0,SAT,30,68s
178,1,SAT,30,6s
179,0,SAT,27,65s
179,1,SAT,27,30s
180,0,SAT,18,45s
180,1,SAT,18,44s
181,0,SAT,15,2s
181,1,SAT,15,60s
182,0,SAT,36,63s
182,1,SAT,36,0s
183,0,SAT,33,65s
183,1,SAT,33,0s
184,0,SAT,12,2s
184,1,SAT,12,59s
185,0,SAT,9,0s
185,1,SAT,9,65s
186,0,SAT,30,63s
186,1,SAT,30,7s
187,0,SAT,27,50s
187,1,SAT,27,18s
188,0,SAT,18,46s
188,1,SAT,18,54s
189,0,SAT,15,5s
189,1,SAT,15,62s
190,0,SAT,33,63s
190,1,SAT,33,0s
191,0,SAT,33,59s
191,1,SAT,33,4s
192,0,SAT,30,56s
192,1,CAP,30,340s
193,0,SAT,21,61s
193,1,SAT,21,41s
194,0,SAT,24,51s
194,1,SAT,24,65s
195,0,SAT,27,58s
195,1,SAT,27,72s
196,0,SAT,12,15s
196,1,SAT,12,60s
197,0,SAT,15,42s
197,1,SAT,15,58s
198,0,SAT,9,0s
198,1,SAT,9,58s
199,0,SAT,12,7s
199,1,SAT,12,55s
200,0,SAT,27,61s
200,1,SAT,27,66s
201,0,SAT,30,56s
201,1,CAP,30,441s
202,0,SAT,15,49s
202,1,SAT,15,54s
203,0,SAT,18,55s
203,1,SAT,18,47s
204,0,SAT,33,50s
204,1,CAP,33,723s
205,0,SAT,36,54s
205,1,SAT,36,0s
206,0,SAT,9,0s
206,1,SAT,9,47s
207,0,SAT,12,1s
207,1,SAT,12,59s
208,0,SAT,27,56s
208,1,SAT,27,68s
209,0,SAT,30,61s
209,1,SAT,30,52s
210,0,SAT,15,53s
210,1,SAT,15,62s
211,0,SAT,18,56s
211,1,SAT,18,41s
212,0,SAT,33,51s
212,1,CAP,33,670s
213,0,SAT,36,60s
213,1,SAT,36,0s
214,0,SAT,30,64s
214,1,SAT,30,55s
215,0,SAT,33,55s
215,1,SAT,33,16s
216,0,SAT,18,54s
216,1,SAT,18,45s
217,0,SAT,21,55s
217,1,SAT,21,29s
218,0,SAT,15,13s
218,1,SAT,15,51s
219,0,SAT,21,24s
219,1,SAT,21,53s
220,0,SAT,24,47s
220,1,SAT,24,34s
221,0,UNSAT,6,0s
221,1,SAT,6,57s
222,0,SAT,15,13s
222,1,SAT,15,52s
223,0,SAT,18,43s
223,1,SAT,18,31s
224,0,SAT,21,23s
224,1,SAT,21,147s
225,0,SAT,24,33s
225,1,SAT,24,37s
226,0,SAT,15,13s
226,1,SAT,15,48s
227,0,SAT,24,46s
227,1,SAT,24,44s
228,0,SAT,27,49s
228,1,SAT,27,8s
229,0,SAT,24,37s
229,1,SAT,24,76s
230,0,SAT,27,46s
230,1,SAT,27,34s
231,0,SAT,33,49s
231,1,SAT,33,3s
232,0,SAT,36,49s
232,1,UNSAT,36,1s
233,0,UNSAT,9,0s
233,1,SAT,9,53s
234,0,SAT,15,18s
234,1,SAT,15,47s
235,0,SAT,18,26s
235,1,SAT,18,43s
236,0,SAT,24,35s
236,1,SAT,24,34s
237,0,SAT,27,41s
237,1,SAT,27,17s
238,0,SAT,18,31s
238,1,SAT,18,38s
239,0,SAT,21,46s
239,1,SAT,21,15s
240,0,SAT,18,36s
240,1,SAT,18,35s
241,0,SAT,21,45s
241,1,CAP,21,358s
242,0,SAT,27,49s
242,1,SAT,27,19s
243,0,SAT,30,48s
243,1,SAT,30,3s
244,0,SAT,12,3s
244,1,SAT,12,49s
245,0,SAT,18,41s
245,1,SAT,18,43s
246,0,SAT,21,49s
246,1,SAT,21,28s
247,0,SAT,27,46s
247,1,SAT,27,17s
248,0,SAT,30,49s
248,1,SAT,30,2s
249,0,SAT,21,45s
249,1,SAT,21,20s
250,0,SAT,24,48s
250,1,SAT,24,5s
251,0,SAT,30,48s
251,1,SAT,30,88s
252,0,SAT,39,49s
252,1,UNSAT,39,0s
253,0,SAT,21,41s
253,1,SAT,21,20s
254,0,SAT,24,48s
254,1,CAP,24,699s
255,0,SAT,30,46s
255,1,SAT,30,2s
256,0,UNSAT,4,0s
256,1,SAT,4,49s
257,0,UNSAT,2,0s
257,1,SAT,2,49s
258,0,CAP,16,461s
258,1,SAT,16,45s
259,0,SAT,20,32s
259,1,SAT,20,40s
260,0,CAP,18,434s
260,1,SAT,18,45s
261,0,SAT,22,32s
261,1,SAT,22,30s
262,0,SAT,8,0s
262,1,SAT,8,48s
263,0,SAT,6,0s
263,1,SAT,6,49s
264,0,SAT,24,33s
264,1,SAT,24,36s
265,0,SAT,22,32s
265,1,SAT,22,38s
266,0,SAT,8,19s
266,1,SAT,8,49s
267,0,CAP,10,370s
267,1,SAT,10,47s
268,0,SAT,14,10s
268,1,SAT,14,40s
269,0,SAT,28,41s
269,1,SAT,28,19s
270,0,SAT,26,42s
270,1,SAT,26,22s
271,0,UNSAT,8,0s
271,1,SAT,8,49s
272,0,UNSAT,6,0s
272,1,SAT,6,49s
273,0,SAT,10,0s
273,1,SAT,10,55s
274,0,SAT,24,51s
274,1,SAT,24,27s
275,0,SAT,22,12s
275,1,SAT,22,27s
276,0,SAT,26,51s
1011,0,CAP,13,495s
276,1,SAT,26,340s
277,0,UNSAT,8,0s
277,1,SAT,8,55s
278,0,SAT,12,0s
278,1,SAT,12,52s
279,0,SAT,10,0s
