n,C(n2),mu_bound,density,parts,certified_K,partcap,certified,fallback,witness
90,4005,903,0.225468,2,3,2,1,0,p=43 q=23: 1x47* + 1x43   (* foreign)
91,4095,546,0.133333,1,3,2,1,0,p=13 q=7: 7x13
92,4186,1012,0.241758,1,3,2,1,0,p=23 q=2: 4x23
93,4278,1395,0.326087,1,2,1,1,0,p=31 q=3: 3x31
94,4371,2162,0.494624,1,2,1,1,0,p=47 q=2: 2x47
95,4465,855,0.191489,1,3,2,1,0,p=19 q=5: 5x19
96,4560,1488,0.326316,1,2,1,1,0,p=2 q=3: 3x32
98,4753,2352,0.494845,1,2,1,1,0,p=7 q=2: 2x49
99,4851,496,0.102247,2,4,3,1,0,p=2 q=11: 1x67* + 1x32   (* foreign)
100,4950,1200,0.242424,1,3,2,1,0,p=5 q=2: 4x25
102,5151,903,0.175306,2,3,2,1,0,p=43 q=29: 1x59* + 1x43   (* foreign)
104,5356,666,0.124347,2,3,2,1,0,p=37 q=11: 1x67* + 1x37   (* foreign)
105,5460,496,0.090842,2,4,3,1,0,p=2 q=3: 1x73* + 1x32   (* foreign)
106,5565,2756,0.495238,1,2,1,1,0,p=53 q=2: 2x53
108,5778,1404,0.242991,1,3,2,1,0,p=3 q=2: 4x27
110,5995,737,0.122936,2,3,2,1,0,p=43 q=11: 1x67* + 1x43   (* foreign)
111,6105,1998,0.327273,1,2,1,1,0,p=37 q=3: 3x37
112,6216,1378,0.221686,2,3,2,1,0,p=53 q=29: 1x59* + 1x53   (* foreign)
114,6441,1081,0.167831,2,3,2,1,0,p=67 q=23: 1x67 + 1x47*   (* foreign)
115,6555,1265,0.192982,1,3,2,1,0,p=23 q=5: 5x23
116,6670,1624,0.243478,1,3,2,1,0,p=29 q=2: 4x29
117,6786,702,0.103448,1,4,3,1,0,p=13 q=3: 9x13
118,6903,3422,0.495726,1,2,1,1,0,p=59 q=2: 2x59
119,7021,952,0.135593,1,3,2,1,0,p=17 q=7: 7x17
120,7140,1711,0.239636,2,3,2,1,0,p=61 q=29: 1x61 + 1x59*   (* foreign)
122,7381,3660,0.495868,1,2,1,1,0,p=61 q=2: 2x61
123,7503,2460,0.327869,1,2,1,1,0,p=41 q=3: 3x41
124,7626,1860,0.243902,1,3,2,1,0,p=31 q=2: 4x31
126,7875,1711,0.217270,2,3,2,1,0,p=67 q=29: 1x67 + 1x59*   (* foreign)
129,8256,2709,0.328125,1,2,1,1,0,p=43 q=3: 3x43
130,8385,1711,0.204055,2,3,2,1,0,p=71 q=29: 1x71 + 1x59*   (* foreign)
132,8646,1711,0.197895,2,3,2,1,0,p=73 q=29: 1x73 + 1x59*   (* foreign)
133,8778,1197,0.136364,1,3,2,1,0,p=19 q=7: 7x19
134,8911,4422,0.496241,1,2,1,1,0,p=67 q=2: 2x67
135,9045,1755,0.194030,1,3,2,1,0,p=3 q=5: 5x27
136,9180,1378,0.150109,2,3,2,1,0,p=53 q=41: 1x83* + 1x53   (* foreign)
138,9453,1711,0.181001,2,3,2,1,0,p=79 q=29: 1x79 + 1x59*   (* foreign)
140,9730,1711,0.175848,2,3,2,1,0,p=3 q=29: 1x81 + 1x59*   (* foreign)
141,9870,3243,0.328571,1,2,1,1,0,p=47 q=3: 3x47
142,10011,4970,0.496454,1,2,1,1,0,p=71 q=2: 2x71
143,10153,1027,0.101152,2,4,3,1,0,p=2 q=13: 1x79* + 1x64   (* foreign)
144,10296,1830,0.177739,2,3,2,1,0,p=61 q=41: 1x83* + 1x61   (* foreign)
145,10440,2030,0.194444,1,3,2,1,0,p=29 q=5: 5x29
146,10585,5256,0.496552,1,2,1,1,0,p=73 q=2: 2x73
147,10731,3528,0.328767,1,2,1,1,0,p=7 q=3: 3x49
148,10878,2664,0.244898,1,3,2,1,0,p=37 q=2: 4x37
150,11175,2211,0.197852,2,3,2,1,0,p=67 q=41: 1x83* + 1x67   (* foreign)
152,11476,1368,0.119205,1,3,2,1,0,p=19 q=2: 8x19
153,11628,1224,0.105263,1,4,3,1,0,p=17 q=3: 9x17
154,11781,2485,0.210933,2,3,2,1,0,p=71 q=41: 1x83* + 1x71   (* foreign)
155,11935,2325,0.194805,1,3,2,1,0,p=31 q=5: 5x31
156,12090,2628,0.217370,2,3,2,1,0,p=73 q=41: 1x83* + 1x73   (* foreign)
158,12403,6162,0.496815,1,2,1,1,0,p=79 q=2: 2x79
159,12561,4134,0.329114,1,2,1,1,0,p=53 q=3: 3x53
160,12720,2480,0.194969,1,3,2,1,0,p=2 q=5: 5x32
161,12880,1771,0.137500,1,3,2,1,0,p=23 q=7: 7x23
162,13041,6480,0.496894,1,2,1,1,0,p=3 q=2: 2x81
164,13366,3280,0.245399,1,3,2,1,0,p=41 q=2: 4x41
165,13530,2016,0.149002,2,3,2,1,0,p=2 q=5: 1x101* + 1x64   (* foreign)
166,13695,6806,0.496970,1,2,1,1,0,p=83 q=2: 2x83
168,14028,2211,0.157613,2,3,2,1,0,p=67 q=5: 1x101* + 1x67   (* foreign)
170,14365,1830,0.127393,2,3,2,1,0,p=61 q=3: 1x109* + 1x61   (* foreign)
171,14535,2016,0.138700,2,3,2,1,0,p=2 q=53: 1x107* + 1x64   (* foreign)
172,14706,3612,0.245614,1,3,2,1,0,p=43 q=2: 4x43
174,15051,2525,0.167763,2,3,2,1,0,p=73 q=5: 1x101* + 1x73   (* foreign)
175,15225,2100,0.137931,1,3,2,1,0,p=5 q=7: 7x25
176,15400,2211,0.143571,2,3,2,1,0,p=67 q=3: 1x109* + 1x67   (* foreign)
177,15576,5133,0.329545,1,2,1,1,0,p=59 q=3: 3x59
178,15753,7832,0.497175,1,2,1,1,0,p=89 q=2: 2x89
180,16110,3403,0.211235,2,3,2,1,0,p=97 q=41: 1x97 + 1x83*   (* foreign)
182,16471,2628,0.159553,2,3,2,1,0,p=73 q=3: 1x109* + 1x73   (* foreign)
183,16653,5490,0.329670,1,2,1,1,0,p=61 q=3: 3x61
184,16836,3403,0.202126,2,3,2,1,0,p=101 q=41: 1x101 + 1x83*   (* foreign)
185,17020,3330,0.195652,1,3,2,1,0,p=37 q=5: 5x37
186,17205,3403,0.197791,2,3,2,1,0,p=103 q=41: 1x103 + 1x83*   (* foreign)
187,17391,1711,0.098384,2,4,3,1,0,p=2 q=29: 1x128 + 1x59*   (* foreign)
188,17578,4324,0.245989,1,3,2,1,0,p=47 q=2: 4x47
189,17766,2457,0.138298,1,3,2,1,0,p=3 q=7: 7x27
190,17955,3403,0.189529,2,3,2,1,0,p=83 q=53: 1x107* + 1x83   (* foreign)
192,18336,6048,0.329843,1,2,1,1,0,p=2 q=3: 3x64
194,18721,9312,0.497409,1,2,1,1,0,p=97 q=2: 2x97
195,18915,1703,0.090034,2,4,3,1,0,p=2 q=13: 1x131* + 1x64   (* foreign)
196,19110,4704,0.246154,1,3,2,1,0,p=7 q=2: 4x49
198,19503,2943,0.150900,2,3,2,1,0,p=89 q=3: 1x109* + 1x89   (* foreign)
200,19900,2400,0.120603,1,3,2,1,0,p=5 q=2: 8x25
201,20100,6633,0.330000,1,2,1,1,0,p=67 q=3: 3x67
202,20301,10100,0.497512,1,2,1,1,0,p=101 q=2: 2x101
203,20503,2842,0.138614,1,3,2,1,0,p=29 q=7: 7x29
204,20706,4656,0.224862,2,3,2,1,0,p=97 q=53: 1x107* + 1x97   (* foreign)
205,20910,4100,0.196078,1,3,2,1,0,p=41 q=5: 5x41
206,21115,10506,0.497561,1,2,1,1,0,p=103 q=2: 2x103
207,21321,2277,0.106796,1,4,3,1,0,p=23 q=3: 9x23
208,21528,5050,0.234578,2,3,2,1,0,p=101 q=53: 1x107* + 1x101   (* foreign)
209,21736,1881,0.086538,1,4,3,1,0,p=19 q=11: 11x19
210,21945,5253,0.239371,2,3,2,1,0,p=103 q=53: 1x107* + 1x103   (* foreign)
212,22366,5512,0.246445,1,3,2,1,0,p=53 q=2: 4x53
213,22578,7455,0.330189,1,2,1,1,0,p=71 q=3: 3x71
214,22791,11342,0.497653,1,2,1,1,0,p=107 q=2: 2x107
215,23005,4515,0.196262,1,3,2,1,0,p=43 q=5: 5x43
216,23220,5671,0.244229,2,3,2,1,0,p=109 q=53: 1x109 + 1x107*   (* foreign)
217,23436,3255,0.138889,1,3,2,1,0,p=31 q=7: 7x31
218,23653,11772,0.497696,1,2,1,1,0,p=109 q=2: 2x109
219,23871,7884,0.330275,1,2,1,1,0,p=73 q=3: 3x73
220,24090,5671,0.235409,2,3,2,1,0,p=113 q=53: 1x113 + 1x107*   (* foreign)
221,24310,2016,0.082929,2,4,3,1,0,p=2 q=13: 1x157* + 1x64   (* foreign)
222,24531,3403,0.138722,2,3,2,1,0,p=139 q=41: 1x139 + 1x83*   (* foreign)
224,24976,3472,0.139013,1,3,2,1,0,p=2 q=7: 7x32
225,25200,2700,0.107143,1,4,3,1,0,p=5 q=3: 9x25
226,25425,12656,0.497778,1,2,1,1,0,p=113 q=2: 2x113
228,25878,5671,0.219144,2,3,2,1,0,p=11 q=53: 1x121 + 1x107*   (* foreign)
230,26335,3240,0.123030,2,3,2,1,0,p=3 q=37: 1x149* + 1x81   (* foreign)
231,26565,2016,0.075889,2,4,3,1,0,p=2 q=83: 1x167* + 1x64   (* foreign)
232,26796,5671,0.211636,2,3,2,1,0,p=5 q=53: 1x125 + 1x107*   (* foreign)
234,27261,5671,0.208026,2,3,2,1,0,p=127 q=53: 1x127 + 1x107*   (* foreign)
235,27495,5671,0.206256,2,3,2,1,0,p=2 q=53: 1x128 + 1x107*   (* foreign)
236,27730,6844,0.246809,1,3,2,1,0,p=59 q=2: 4x59
237,27966,9243,0.330508,1,2,1,1,0,p=79 q=3: 3x79
238,28203,5671,0.201078,2,3,2,1,0,p=131 q=53: 1x131 + 1x107*   (* foreign)
240,28680,3775,0.131625,2,3,2,1,0,p=89 q=5: 1x151* + 1x89   (* foreign)
242,29161,14520,0.497925,1,2,1,1,0,p=11 q=2: 2x121
244,29646,7320,0.246914,1,3,2,1,0,p=61 q=2: 4x61
245,29890,5880,0.196721,1,3,2,1,0,p=7 q=5: 5x49
246,30135,5671,0.188186,2,3,2,1,0,p=139 q=53: 1x139 + 1x107*   (* foreign)
247,30381,2525,0.083111,3,4,3,1,0,p=73 q=5: 1x101* + 1x73 + 1x73   (* foreign)
248,30628,3775,0.123253,2,3,2,1,0,p=97 q=5: 1x151* + 1x97   (* foreign)
249,30876,10209,0.330645,1,2,1,1,0,p=83 q=3: 3x83
250,31125,15500,0.497992,1,2,1,1,0,p=5 q=2: 2x125
252,31626,5253,0.166098,2,3,2,1,0,p=103 q=37: 1x149* + 1x103   (* foreign)
253,31878,2783,0.087302,1,4,3,1,0,p=23 q=11: 11x23
254,32131,16002,0.498024,1,2,1,1,0,p=127 q=2: 2x127
255,32385,2628,0.081149,3,4,3,1,0,p=73 q=3: 1x109* + 1x73 + 1x73   (* foreign)
258,33153,5671,0.171055,2,3,2,1,0,p=151 q=53: 1x151 + 1x107*   (* foreign)
259,33411,4662,0.139535,1,3,2,1,0,p=37 q=7: 7x37
260,33670,4656,0.138283,2,3,2,1,0,p=97 q=3: 1x163* + 1x97   (* foreign)
261,33930,3654,0.107692,1,4,3,1,0,p=29 q=3: 9x29
262,34191,17030,0.498084,1,2,1,1,0,p=131 q=2: 2x131
264,34716,5671,0.163354,2,3,2,1,0,p=157 q=53: 1x157 + 1x107*   (* foreign)
265,34980,6890,0.196970,1,3,2,1,0,p=53 q=5: 5x53
266,35245,5253,0.149042,2,3,2,1,0,p=103 q=3: 1x163* + 1x103   (* foreign)
267,35511,11748,0.330827,1,2,1,1,0,p=89 q=3: 3x89
268,35778,8844,0.247191,1,3,2,1,0,p=67 q=2: 4x67
270,36315,5671,0.156161,2,3,2,1,0,p=107 q=3: 1x163* + 1x107   (* foreign)
272,36856,5886,0.159703,2,3,2,1,0,p=109 q=3: 1x163* + 1x109   (* foreign)
273,37128,3403,0.091656,3,4,3,1,0,p=83 q=53: 1x107* + 1x83 + 1x83   (* foreign)
274,37401,18632,0.498168,1,2,1,1,0,p=137 q=2: 2x137
275,37675,3300,0.087591,1,4,3,1,0,p=5 q=11: 11x25
276,37950,6328,0.166746,2,3,2,1,0,p=113 q=3: 1x163* + 1x113   (* foreign)
278,38503,19182,0.498195,1,2,1,1,0,p=139 q=2: 2x139
279,38781,4185,0.107914,1,4,3,1,0,p=31 q=3: 9x31
280,39060,6328,0.162007,2,3,2,1,0,p=113 q=83: 1x167* + 1x113   (* foreign)
282,39621,5886,0.148558,2,3,2,1,0,p=109 q=43: 1x173* + 1x109   (* foreign)
284,40186,9940,0.247350,1,3,2,1,0,p=71 q=2: 4x71
285,40470,3916,0.096763,3,4,3,1,0,p=89 q=53: 1x107* + 1x89 + 1x89   (* foreign)
286,40755,6328,0.155269,2,3,2,1,0,p=113 q=43: 1x173* + 1x113   (* foreign)
287,41041,5740,0.139860,1,3,2,1,0,p=41 q=7: 7x41
288,41328,7750,0.187524,2,3,2,1,0,p=5 q=3: 1x163* + 1x125   (* foreign)
290,41905,8001,0.190932,2,3,2,1,0,p=127 q=3: 1x163* + 1x127   (* foreign)
291,42195,13968,0.331034,1,2,1,1,0,p=97 q=3: 3x97
292,42486,10512,0.247423,1,3,2,1,0,p=73 q=2: 4x73
294,43071,8515,0.197697,2,3,2,1,0,p=131 q=3: 1x163* + 1x131   (* foreign)
295,43365,8555,0.197279,1,3,2,1,0,p=59 q=5: 5x59
296,43660,5328,0.122034,1,3,2,1,0,p=37 q=2: 8x37
297,43956,3861,0.087838,1,4,3,1,0,p=3 q=11: 11x27
298,44253,22052,0.498316,1,2,1,1,0,p=149 q=2: 2x149
299,44551,3289,0.073826,1,4,3,1,0,p=23 q=13: 13x23
300,44850,9316,0.207715,2,3,2,1,0,p=137 q=3: 1x163* + 1x137   (* foreign)
301,45150,7439,0.164762,2,3,2,1,0,p=2 q=43: 1x173* + 1x128   (* foreign)
302,45451,22650,0.498339,1,2,1,1,0,p=151 q=2: 2x151
303,45753,15150,0.331126,1,2,1,1,0,p=101 q=3: 3x101
304,46056,9316,0.202275,2,3,2,1,0,p=137 q=83: 1x167* + 1x137   (* foreign)
305,46360,9150,0.197368,1,3,2,1,0,p=61 q=5: 5x61
306,46665,9591,0.205529,2,3,2,1,0,p=139 q=83: 1x167* + 1x139   (* foreign)
308,47278,3775,0.079847,2,4,3,1,0,p=157 q=5: 1x157 + 1x151*   (* foreign)
309,47586,15759,0.331169,1,2,1,1,0,p=103 q=3: 3x103
310,47895,8515,0.177785,2,3,2,1,0,p=131 q=89: 1x179* + 1x131   (* foreign)
312,48516,11026,0.227265,2,3,2,1,0,p=149 q=3: 1x163* + 1x149   (* foreign)
314,49141,24492,0.498403,1,2,1,1,0,p=157 q=2: 2x157
315,49455,3660,0.074007,2,4,3,1,0,p=61 q=2: 1x193* + 2x61   (* foreign)
316,49770,12324,0.247619,1,3,2,1,0,p=79 q=2: 4x79
318,50403,11325,0.224689,2,3,2,1,0,p=151 q=83: 1x167* + 1x151   (* foreign)
319,50721,4466,0.088050,1,4,3,1,0,p=29 q=11: 11x29
320,51040,12246,0.239929,2,3,2,1,0,p=157 q=3: 1x163* + 1x157   (* foreign)
321,51360,17013,0.331250,1,2,1,1,0,p=107 q=3: 3x107
322,51681,7750,0.149958,2,3,2,1,0,p=5 q=7: 1x197* + 1x125   (* foreign)
323,52003,2943,0.056593,3,5,4,1,0,p=107 q=3: 1x109* + 1x107 + 1x107   (* foreign)
324,52326,12960,0.247678,1,3,2,1,0,p=3 q=2: 4x81
325,52650,8128,0.154378,2,3,2,1,0,p=2 q=7: 1x197* + 1x128   (* foreign)
326,52975,26406,0.498462,1,2,1,1,0,p=163 q=2: 2x163
327,53301,17658,0.331288,1,2,1,1,0,p=109 q=3: 3x109
328,53628,11026,0.205602,2,3,2,1,0,p=149 q=89: 1x179* + 1x149   (* foreign)
329,53956,7567,0.140244,1,3,2,1,0,p=47 q=7: 7x47
330,54285,13203,0.243216,2,3,2,1,0,p=163 q=83: 1x167* + 1x163   (* foreign)
332,54946,13612,0.247734,1,3,2,1,0,p=83 q=2: 4x83
333,55278,5994,0.108434,1,4,3,1,0,p=37 q=3: 9x37
334,55611,27722,0.498498,1,2,1,1,0,p=167 q=2: 2x167
335,55945,11055,0.197605,1,3,2,1,0,p=67 q=5: 5x67
336,56280,13861,0.246286,2,3,2,1,0,p=13 q=83: 1x169 + 1x167*   (* foreign)
338,56953,28392,0.498516,1,2,1,1,0,p=13 q=2: 2x169
339,57291,18984,0.331361,1,2,1,1,0,p=113 q=3: 3x113
340,57630,13861,0.240517,2,3,2,1,0,p=173 q=83: 1x173 + 1x167*   (* foreign)
341,57970,5115,0.088235,1,4,3,1,0,p=31 q=11: 11x31
342,58311,13203,0.226424,2,3,2,1,0,p=163 q=89: 1x179* + 1x163   (* foreign)
344,58996,13203,0.223795,2,3,2,1,0,p=181 q=3: 1x181 + 1x163*   (* foreign)
345,59340,3916,0.065993,3,4,3,1,0,p=89 q=83: 1x167* + 1x89 + 1x89   (* foreign)
346,59685,29756,0.498551,1,2,1,1,0,p=173 q=2: 2x173
348,60378,14196,0.235119,2,3,2,1,0,p=13 q=89: 1x179* + 1x169   (* foreign)
350,61075,8001,0.131003,2,3,2,1,0,p=127 q=37: 1x223* + 1x127   (* foreign)
351,61425,8128,0.132324,2,3,2,1,0,p=2 q=37: 1x223* + 1x128   (* foreign)
352,61776,14878,0.240838,2,3,2,1,0,p=173 q=89: 1x179* + 1x173   (* foreign)
354,62481,13203,0.211312,2,3,2,1,0,p=191 q=3: 1x191 + 1x163*   (* foreign)
355,62835,12425,0.197740,1,3,2,1,0,p=71 q=5: 5x71
356,63190,15664,0.247887,1,3,2,1,0,p=89 q=2: 4x89
357,63546,5671,0.089242,3,4,3,1,0,p=5 q=53: 1x125 + 1x125 + 1x107*   (* foreign)
358,63903,31862,0.498599,1,2,1,1,0,p=179 q=2: 2x179
360,64620,15931,0.246534,2,3,2,1,0,p=181 q=89: 1x181 + 1x179*   (* foreign)
362,65341,32580,0.498615,1,2,1,1,0,p=181 q=2: 2x181
363,65703,21780,0.331492,1,2,1,1,0,p=11 q=3: 3x121
364,66066,13861,0.209805,2,3,2,1,0,p=197 q=83: 1x197 + 1x167*   (* foreign)
365,66430,13140,0.197802,1,3,2,1,0,p=73 q=5: 5x73
366,66795,13861,0.207516,2,3,2,1,0,p=199 q=83: 1x199 + 1x167*   (* foreign)
368,67528,4656,0.068949,2,4,3,1,0,p=97 q=3: 1x271* + 1x97   (* foreign)
369,67896,7380,0.108696,1,4,3,1,0,p=41 q=3: 9x41
370,68265,15931,0.233370,2,3,2,1,0,p=191 q=89: 1x191 + 1x179*   (* foreign)
371,68635,9646,0.140541,1,3,2,1,0,p=53 q=7: 7x53
372,69006,15931,0.230864,2,3,2,1,0,p=193 q=89: 1x193 + 1x179*   (* foreign)
374,69751,13203,0.189288,2,3,2,1,0,p=211 q=3: 1x211 + 1x163*   (* foreign)
375,70125,23250,0.331551,1,2,1,1,0,p=5 q=3: 3x125
376,70500,15931,0.225972,2,3,2,1,0,p=197 q=89: 1x197 + 1x179*   (* foreign)
377,70876,5671,0.080013,3,4,3,1,0,p=107 q=3: 1x163* + 1x107 + 1x107   (* foreign)
378,71253,15931,0.223584,2,3,2,1,0,p=199 q=89: 1x199 + 1x179*   (* foreign)
380,72010,8251,0.114581,2,3,2,1,0,p=157 q=37: 1x223* + 1x157   (* foreign)
381,72390,24003,0.331579,1,2,1,1,0,p=127 q=3: 3x127
382,72771,36290,0.498688,1,2,1,1,0,p=191 q=2: 2x191
384,73536,24384,0.331593,1,2,1,1,0,p=2 q=3: 3x128
385,73920,8128,0.109957,2,4,3,1,0,p=2 q=2: 1x257* + 1x128   (* foreign)
386,74305,37056,0.498701,1,2,1,1,0,p=193 q=2: 2x193
387,74691,8127,0.108808,1,4,3,1,0,p=43 q=3: 9x43
388,75078,18624,0.248062,1,3,2,1,0,p=97 q=2: 4x97
390,75855,15931,0.210019,2,3,2,1,0,p=211 q=89: 1x211 + 1x179*   (* foreign)
391,76245,8128,0.106604,2,4,3,1,0,p=2 q=131: 1x263* + 1x128   (* foreign)
392,76636,13203,0.172282,2,3,2,1,0,p=229 q=3: 1x229 + 1x163*   (* foreign)
393,77028,25545,0.331633,1,2,1,1,0,p=131 q=3: 3x131
394,77421,38612,0.498728,1,2,1,1,0,p=197 q=2: 2x197
395,77815,15405,0.197970,1,3,2,1,0,p=79 q=5: 5x79
396,78210,14196,0.181511,2,3,2,1,0,p=13 q=113: 1x227* + 1x169   (* foreign)
398,79003,39402,0.498741,1,2,1,1,0,p=199 q=2: 2x199
399,79401,7317,0.092152,2,4,3,1,0,p=2 q=3: 1x271* + 1x128   (* foreign)
400,79800,14878,0.186441,2,3,2,1,0,p=173 q=113: 1x227* + 1x173   (* foreign)
402,80601,15931,0.197653,2,3,2,1,0,p=223 q=89: 1x223 + 1x179*   (* foreign)
403,81003,6045,0.074627,1,4,3,1,0,p=31 q=13: 13x31
404,81406,20200,0.248139,1,3,2,1,0,p=101 q=2: 4x101
405,81810,16200,0.198020,1,3,2,1,0,p=3 q=5: 5x81
406,82215,15931,0.193772,2,3,2,1,0,p=179 q=113: 1x227* + 1x179   (* foreign)
407,82621,7326,0.088670,1,4,3,1,0,p=37 q=11: 11x37
408,83028,16290,0.196199,2,3,2,1,0,p=181 q=113: 1x227* + 1x181   (* foreign)
410,83845,13861,0.165317,2,3,2,1,0,p=3 q=83: 1x243 + 1x167*   (* foreign)
411,84255,27948,0.331707,1,2,1,1,0,p=137 q=3: 3x137
412,84666,21012,0.248175,1,3,2,1,0,p=103 q=2: 4x103
413,85078,11977,0.140777,1,3,2,1,0,p=59 q=7: 7x59
414,85491,13203,0.154437,2,3,2,1,0,p=163 q=5: 1x251* + 1x163   (* foreign)
415,85905,17015,0.198068,1,3,2,1,0,p=83 q=5: 5x83
416,86320,8251,0.095586,2,4,3,1,0,p=193 q=37: 1x223* + 1x193   (* foreign)
417,86736,28773,0.331731,1,2,1,1,0,p=139 q=3: 3x139
418,87153,18145,0.208197,2,3,2,1,0,p=191 q=113: 1x227* + 1x191   (* foreign)
420,87990,18528,0.210569,2,3,2,1,0,p=193 q=113: 1x227* + 1x193   (* foreign)
422,88831,44310,0.498812,1,2,1,1,0,p=211 q=2: 2x211
423,89253,13861,0.155300,2,3,2,1,0,p=2 q=83: 1x256 + 1x167*   (* foreign)
424,89676,19306,0.215286,2,3,2,1,0,p=197 q=113: 1x227* + 1x197   (* foreign)
425,90100,8515,0.094506,3,4,3,1,0,p=131 q=3: 1x163* + 1x131 + 1x131   (* foreign)
426,90525,19701,0.217630,2,3,2,1,0,p=199 q=113: 1x227* + 1x199   (* foreign)
427,90951,12810,0.140845,1,3,2,1,0,p=61 q=7: 7x61
428,91378,22684,0.248244,1,3,2,1,0,p=107 q=2: 4x107
429,91806,8515,0.092750,3,4,3,1,0,p=131 q=83: 1x167* + 1x131 + 1x131   (* foreign)
430,92235,15931,0.172722,2,3,2,1,0,p=179 q=5: 1x251* + 1x179   (* foreign)
432,93096,16290,0.174981,2,3,2,1,0,p=181 q=5: 1x251* + 1x181   (* foreign)
434,93961,13203,0.140516,2,3,2,1,0,p=271 q=3: 1x271 + 1x163*   (* foreign)
435,94395,15931,0.168770,2,3,2,1,0,p=2 q=89: 1x256 + 1x179*   (* foreign)
436,94830,23544,0.248276,1,3,2,1,0,p=109 q=2: 4x109
437,95266,9316,0.097789,3,4,3,1,0,p=137 q=3: 1x163* + 1x137 + 1x137   (* foreign)
438,95703,22155,0.231497,2,3,2,1,0,p=211 q=113: 1x227* + 1x211   (* foreign)
